2024-03-12 12:57:43,434 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2024-03-12 12:57:43,511 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2024-03-12 12:57:43,511 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2024-03-12 12:57:43,511 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2024-03-12 12:57:43,511 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2024-03-12 12:57:43,511 INFO  SwAddin.cs: 197 - Setting up callbacks
2024-03-12 12:57:43,511 INFO  SwAddin.cs: 201 - Setting up command manager
2024-03-12 12:57:43,511 INFO  SwAddin.cs: 204 - Adding command manager
2024-03-12 12:57:43,529 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2024-03-12 12:57:43,529 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2024-03-12 12:57:43,529 INFO  SwAddin.cs: 210 - Adding event handlers
2024-03-12 12:57:43,691 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2024-03-12 13:03:08,895 INFO  SwAddin.cs: 294 - Assembly export called for file jetbot_v1_cond
2024-03-12 13:03:08,900 INFO  SwAddin.cs: 299 - Save is required
2024-03-12 13:03:08,900 INFO  SwAddin.cs: 313 - Saving assembly
2024-03-12 13:03:14,016 INFO  SwAddin.cs: 316 - Opening property manager
2024-03-12 13:03:14,048 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from jetbot_v1_cond
2024-03-12 13:03:14,079 INFO  ExportHelperExtension.cs: 1136 - Found 66 in jetbot_v1_cond
2024-03-12 13:03:14,079 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in jetbot_v1_cond
2024-03-12 13:03:14,079 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2024-03-12 13:03:14,079 INFO  ExportHelperExtension.cs: 1160 - 3 components to check
2024-03-12 13:03:14,079 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from D435_Solid-1
2024-03-12 13:03:14,079 INFO  ExportHelperExtension.cs: 1136 - Found 27 in D435_Solid-1
2024-03-12 13:03:14,079 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in D435_Solid-1
2024-03-12 13:03:14,079 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from RP-lidar-A1-1
2024-03-12 13:03:14,091 INFO  ExportHelperExtension.cs: 1136 - Found 23 in RP-lidar-A1-1
2024-03-12 13:03:14,091 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in RP-lidar-A1-1
2024-03-12 13:03:14,092 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from jetbot_v1_cond
2024-03-12 13:03:14,092 INFO  ExportHelperExtension.cs: 1136 - Found 66 in jetbot_v1_cond
2024-03-12 13:03:14,092 INFO  ExportHelperExtension.cs: 1145 - Found 1 features of type [RefAxis] in jetbot_v1_cond
2024-03-12 13:03:14,094 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2024-03-12 13:03:14,094 INFO  ExportHelperExtension.cs: 1160 - 3 components to check
2024-03-12 13:03:14,095 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from D435_Solid-1
2024-03-12 13:03:14,095 INFO  ExportHelperExtension.cs: 1136 - Found 27 in D435_Solid-1
2024-03-12 13:03:14,095 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in D435_Solid-1
2024-03-12 13:03:14,096 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from RP-lidar-A1-1
2024-03-12 13:03:14,096 INFO  ExportHelperExtension.cs: 1136 - Found 23 in RP-lidar-A1-1
2024-03-12 13:03:14,096 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in RP-lidar-A1-1
2024-03-12 13:03:14,332 INFO  SwAddin.cs: 339 - Loading config tree
2024-03-12 13:03:14,343 INFO  ExportPropertyManagerExtension.cs: 520 - Starting new configuration
2024-03-12 13:03:14,349 INFO  SwAddin.cs: 344 - Showing property manager
